Species,Height,SLA
Aira caryophyllea,1.96,5.24
Anagallis arvensis,1.75,5.67
Baccharis pilularis,3.23,4.60
Bromus carinatus,3.48,4.54
Bromus diandrus,3.37,4.86
Bromus hordeaceus,2.75,5.02
Danthonia californica,2.33,4.47
Daucus pusillus,2.54,4.77
Holcus lanatus,3.65,5.00
Hypochaeris glabra,1.28,5.52
Hypochaeris radicata,1.08,5.18
Linum bienne,3.22,5.33
Lolium perenne,3.48,4.70
Lupinus arboreus,3.56,4.43
Lupinus bicolor,2.69,4.84
Oxalis albicans,1.78,5.37
Rumex acetosella,2.14,5.24
Sisyrinchium bellum,2.73,4.73
Sonchus asper,3.28,5.73
Trifolium microdon,1.91,5.21
Vicia sativa,2.55,5.30
Vulpia myuros,2.60,4.49
