Longitude,Latitude,Mammal,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Mean.Elevation,SD.Elevation
-105,85,3,-207,67,14,14791,44,-426,470,-26,-374,0,-374,92,20,2,79,53,6,46,6,1,0
-95,85,8,-215.9025157,59.83962264,12.2327044,15097.00314,41.70754717,-428.0377358,469.745283,-31.07232704,-381.6949686,-3.471698113,-384.4371069,102.0125786,20.93081761,3.122641509,69.51572327,55.03144654,9.578616352,48.61320755,9.79245283,418.8759928,375.0499567
-85,85,8,-217.8888889,57.34408602,11.38948626,15866.16965,51.52568698,-430.8195938,482.3452808,-25.71445639,-391.6583035,6.211469534,-391.6583035,115.1087216,17.84468339,4.954599761,50.33691756,50.61648746,15.94862605,44.63799283,15.94862605,513.4965882,415.448684
-75,85,7,-215.2236728,54.71366406,11.93994778,14370.43255,27.29677981,-412.9582245,440.2550044,-40.43690165,-373.7180157,-13.67275892,-374.4116623,180.6318538,24.20365535,9.248041775,38.31766754,69.12010444,28.95735422,60.86858138,28.98781549,885.5653624,517.5145113
-65,85,8,-179.2314815,60.90393519,14.27430556,12942.8206,47.81365741,-364.9143519,412.7280093,-21.56597222,-322.2534722,3.642361111,-324.1701389,161.2361111,23.77893519,7.392361111,43.31018519,67.6875,22.96412037,57.05092593,23.05324074,434.64678,328.509901
-55,85,7,-182.236211,54.23741007,13.25179856,12064.52158,32.02278177,-362.1318945,394.1546763,-52.15707434,-319.971223,-12.13908873,-320.3141487,237.9220624,35.58752998,11.4736211,41.0911271,93.32014388,36.0059952,75.69304556,36.02278177,788.5871164,494.5181073
-45,85,7,-185.2206278,57.35067265,14.37130045,11664.33004,22.29865471,-362.490583,384.7892377,-72.30852018,-304.7049327,-21.05560538,-317.2071749,260.7479821,35.48789238,14.46995516,34.33363229,94.52556054,46.84125561,78.39910314,47.08878924,851.1524836,633.3659306
-35,85,7,-192.4704074,61.51575711,15.59953882,11649.13451,14.04073789,-368.2121445,382.2528824,-88.47809377,-238.1637202,-28.32282859,-322.1245196,271.3812452,34.71483474,15.48808609,28.73405073,94.16064566,52.29900077,79.74404304,54.93312836,761.4135266,543.2718004
-25,85,6,-180.4324578,70.3630394,17.29643527,12031.36304,36.21106942,-360.2476548,396.4587242,-33.01125704,-144.9090056,-10.26360225,-312.3405253,186.9212008,24.0412758,9.283302064,25.52532833,63.48030019,35.53564728,55.35834897,41.45684803,463.3952196,294.277961
-15,85,6,-150.7699758,67.60048426,16.97578692,11952.20097,65.48910412,-322.8014528,388.2905569,-6.629539952,-99.69491525,20.82082324,-279.2493947,177.5496368,23.2590799,6.537530266,32.49878935,63.82082324,28.22033898,51.07263923,35.28571429,171.6630526,310.9867079
15,85,3,-72.12765957,42.91489362,17.29787234,6970.723404,54.70212766,-186.2553191,240.9574468,-13.53191489,-59.25531915,22.59574468,-151.0638298,231.3617021,27.46808511,10.40425532,26.29787234,73.5106383,36.14893617,54.78723404,64.46808511,138.3541296,117.7163915
25,85,3,-71.78740157,45.37007874,19.48818898,6402.314961,47.55905512,-178.7165354,226.2755906,-15.43307087,-63.98425197,15.37795276,-143.6141732,295.0787402,32.47244094,14.38582677,21.77952756,89.48818898,49.21259843,76.79527559,81.03937008,256.7316741,176.8721921
35,85,1,-62.62962963,47.22222222,21,6042.481481,54.37037037,-162.8888889,217.2592593,-6.703703704,-62.44444444,21.74074074,-130.3333333,320.8888889,34.44444444,16.48148148,19.85185185,97.2962963,54.48148148,90.74074074,83.55555556,50.84473083,84.18191248
45,85,1,-102.8534483,63.01724138,21.94827586,7634.103448,47.47413793,-234.7241379,282.1982759,-28.77586207,-99.63793103,0.689655172,-191.2672414,254.2068966,32.20689655,12.42241379,26.19827586,86.18965517,40.57758621,83.8362069,60.26724138,155.2998851,120.6577281
55,85,1,-132.176,69.67466667,20.648,9397.064,45.61333333,-285.1173333,330.7306667,-57.97066667,-109.1946667,-8.269333333,-240.5413333,243.4773333,28.45866667,11.76266667,23.78133333,76.81333333,39.95466667,63.03466667,61.30133333,156.5355699,120.48525
65,85,1,-140.4893617,69.21985816,20,9642.361702,36.14893617,-302.1985816,338.3475177,-25.58865248,-117.5460993,-15.32624113,-254.8794326,203.2978723,23.9787234,10.39007092,25.16312057,66.86524823,33.63120567,53.63829787,46.5177305,177.2548641,134.6714713
75,85,1,-152.1818182,61.36363636,18,10236.81818,17.72727273,-316.3636364,334.0909091,-24.54545455,-211.9090909,-21.09090909,-274.8181818,159.7272727,23.63636364,7.454545455,39.27272727,65.54545455,25.27272727,54.54545455,28.63636364,121.2615185,80.61545567
85,85,1,-152.3333333,61.66666667,18,10267.33333,17.33333333,-317.3333333,334.6666667,-24.66666667,-238.3333333,-21,-275.3333333,152.3333333,23.33333333,7,41.33333333,64.33333333,23.66666667,54,26.33333333,72.66017699,63.01574094
95,85,2,-175.3536122,72.70342205,17.89353612,12112.17871,41.52851711,-356.6159696,398.1444867,-19.34220532,-287.7984791,-15.86311787,-315.5437262,159.3878327,27.14448669,7.562737643,53.80608365,77.24714829,24.18631179,64.5095057,24.74524715,247.328858,237.9609376
-175,75,5,-123.2571429,60.74285714,16.67142857,10890.71429,49.21428571,-306.7,355.9142857,8.328571429,-177.2428571,14.12857143,-255.0714286,165.9,27.55714286,6.8,45.12857143,71.01428571,22.27142857,62.91428571,29.7,140.5949307,148.0096629
-165,75,22,-101.275,63.225,15.8,12089.475,103.45,-289.65,393.1,50.75,-192.375,56.275,-241.4,148.625,33.425,5,74.875,84.8,16.025,71.425,16.575,25.64493267,14.45552042
-155,75,23,-118.4034582,77.90778098,16.57925072,13439.78674,116.5417867,-337.8299712,454.3717579,48.93659942,-217.1988473,57.13544669,-279.9884726,137.518732,33.22766571,4.181556196,74.25936599,74.29971182,14.59654179,68.88760807,15.98270893,21.06337721,16.79949378
